ii,dv,comp1,comp2,comp3,comp4,fracao_fiscal
3417156,1,BOX,1 A 6,PAV,23,",1466180"
3417157,9,BOX,7 A 12,PAV,23,",0837870"
3417158,7,BOX,"13,15",PAV,23,",0542710"
3417159,5,BOX,"14,16,18",PAV,23,",0455170"
3417160,3,BOX,17,PAV,23,",0219340"
3417161,1,BOX,19 A 22,PAV,23,",0990260"
3417162,9,BOX,"23,25",PAV,23,",0411720"
3417163,7,BOX,"24,26,28",PAV,23,",0901670"
3417164,5,BOX,27,PAV,23,",0109670"
3417165,2,BOX,"29,31,33",PAV,23,",0739820"
3417166,0,BOX,32,PAV,23,",0163720"
3417167,8,BOX,"34,35,36",E,38,",0877220"
3417168,6,BOX,37,PAV,23,",0206490"
3417169,4,BOX,39 A 46,PAV,23,",1119110"
3417170,2,BOX,"48,50",PAV,23,",0381610"
3417171,0,BOX,A,PAV,23,",0161370"
3417172,8,BOX,B,PAV,23,",0274960"
3417173,6,BOX,C,PAV,23,",0109670"
3417174,4,BOX,D,PAV,23,",0031330"
3417175,1,BOX,"1,3,5",PAV,24,",0620380"
3417176,9,BOX,"2,4,6,8",PAV,24,",1242940"
3417177,7,BOX,7,PAV,24,",0203880"
3417178,5,BOX,"9,10",PAV,24,",0312730"
3417179,3,BOX,"13,14",PAV,24,",0255940"
3417180,1,BOX,"15,16,18",PAV,24,",0720130"
3417181,9,BOX,"17,19,20",E,21,",1240760"
3417182,7,BOX,22,PAV,24,",0101940"
3417183,5,BOX,"23,24",PAV,24,",0308370"
3417184,3,BOX,"25,26",PAV,24,",0339680"
3417185,0,BOX,"27,28",PAV,24,",0255940"
3417186,8,BOX,"29,30",PAV,24,",0337490"
3417187,6,BOX,31 A 36,PAV,24,",0985220"
3417188,4,BOX,"37,38",PAV,24,",0511880"
3417189,2,BOX,"39,40,42",PAV,24,",0720130"
3417190,0,BOX,"41,43,44",PAV,24,",0655640"
3417191,8,BOX,45,PAV,24,",0305820"
3417192,6,BOX,46,PAV,24,",0151450"
3417193,4,BOX,47,PAV,24,",0087370"
3417194,2,BOX,"48,50",PAV,24,",0455820"
3417195,9,BOX,A,PAV,24,",0050970"
3417196,7,BOX,B,PAV,24,",0135430"
3417199,1,BOX,30,PAV,30,",8302550"
3417200,7,BOX,30 A,PAV,30,",0848720"
3417201,5,BOX,30 HSBC,PAV,30,",0848720"
3417202,3,BOX,1,PAV,31,",0230540"
3417203,1,BOX,2,PAV,31,",0204190"
3417204,9,BOX,3,PAV,31,",0144080"
3417205,6,BOX,4,PAV,31,",0218420"
3417206,4,BOX,5,PAV,31,",0243710"
3417207,2,BOX,6,PAV,31,",0175370"
3417208,0,BOX,"7,9,11",PAV,31,",0482480"
3417209,8,BOX,8,PAV,31,",0269230"
3417210,6,BOX,10,PAV,31,",0082330"
3417211,4,BOX,12,PAV,31,",0233010"
3417212,2,BOX,13,PAV,31,",0141610"
3417213,0,BOX,14,PAV,31,",0172900"
3417214,8,BOX,15,PAV,31,",0139970"
3417215,5,BOX,16,PAV,31,",0172900"
3417216,3,BOX,17,PAV,31,",0115270"
3417217,1,BOX,"18,20",PAV,31,",0399440"
3417218,9,BOX,19,PAV,31,",0115270"
3417219,7,BOX,"21,22",PAV,31,",0365160"
3417220,5,BOX,23,PAV,31,",0137500"
3417221,3,BOX,24,PAV,31,",0223950"
3417222,1,BOX,25,PAV,31,",0202540"
3417223,9,BOX,26,PAV,31,",0172900"
3417224,7,BOX,"27,28",PAV,31,",0388210"
3417225,4,BOX,"29,30",PAV,31,",0336750"
3417226,2,BOX,"31,33 A 46",PAV,31,",3674180"
3417227,0,BOX,32,PAV,31,",0209950"
3417228,8,BOX,48,PAV,31,",0181130"
3417229,6,BOX,49,PAV,31,",0277470"
3417230,4,BOX,SANTANDER,PAV,31,",0289410"
3417231,2,BOX,"1,3,5",PAV,32,",0994410"
3417232,0,BOX,"2,4,6",PAV,32,",0434290"
3417233,8,BOX,7,PAV,32,",0180290"
3417234,6,BOX,8,PAV,32,",0217860"
3417235,3,BOX,9,PAV,32,",0326800"
3417236,1,BOX,10,PAV,32,",0138160"
3417237,9,BOX,"11,13",PAV,32,",0549330"
3417238,7,BOX,12,PAV,32,",0189850"
3417239,5,BOX,14,PAV,32,",0135380"
3417240,3,BOX,15,PAV,32,",0217860"
3417241,1,BOX,"16,18",PAV,32,",0417210"
3417242,9,BOX,"17,19",PAV,32,",0220200"
3417243,7,BOX,20,PAV,32,",0175680"
3417244,5,BOX,21,PAV,32,",0108930"
3417245,2,BOX,22,PAV,32,",0178960"
3417246,0,BOX,23,PAV,32,",0108930"
3417247,8,BOX,24,PAV,32,",0326800"
3417248,6,BOX,25,PAV,32,",0108930"
3417249,4,BOX,26,PAV,32,",0186810"
3417250,2,BOX,27,PAV,32,",0217860"
3417251,0,BOX,28,PAV,32,",0163400"
3417252,8,BOX,29,PAV,32,",0326800"
3417253,6,BOX,30,PAV,32,",0163400"
3417254,4,BOX,31,PAV,32,",0213970"
3417255,1,BOX,32,PAV,32,",0108930"
3417256,9,BOX,"33,35,36",E,37,",1278190"
3417257,7,BOX,34,PAV,32,",0108930"
3417258,5,BOX,38,PAV,32,",0124490"
3417259,3,BOX,"39 A 43,45",PAV,32,",0915510"
3417260,1,BOX,"44,46",PAV,32,",0549330"
3417261,9,BOX,A,PAV,32,",0324460"
3417262,7,BOX,S/N,PAV,32,",0054460"
3417263,5,BOX,B,PAV,32,",0101150"
3417264,3,BOX,C,PAV,32,",0132270"
3417265,0,BOX,1,PAV,33,",0147070"
3417266,8,BOX,2,PAV,33,",0196100"
3417267,6,BOX,"3,5",PAV,33,",0446490"
3417268,4,BOX,"4,6",PAV,33,",0396410"
3417269,2,BOX,7,PAV,33,",0134470"
3417270,0,BOX,8,PAV,33,",0196100"
3417271,8,BOX,"9,11,13,14",PAV,33,",1329410"
3417272,6,BOX,10,PAV,33,",0122560"
3417273,4,BOX,12,PAV,33,",0060230"
3417274,2,BOX,"15,17",PAV,33,",0285110"
3417275,9,BOX,"19,20,22",E,24,",0892980"
3417276,7,BOX,21,PAV,33,",0294150"
3417277,5,BOX,23,PAV,33,",0196100"
3417278,3,BOX,25,PAV,33,",0196100"
3417279,1,BOX,"26,28",PAV,33,",0390500"
3417280,9,BOX,29 A 36,PAV,33,",1477160"
3417281,7,BOX,37,PAV,33,",0294150"
3417282,5,BOX,38,PAV,33,",0196100"
3417283,3,BOX,39,PAV,33,",0149520"
3417284,1,BOX,40 A 46,PAV,33,",1798650"
3417285,8,BOX,48,PAV,33,",0332670"
3417286,6,BOX,49,PAV,33,",0028710"
3417287,4,BOX,A,PAV,33,",0439130"
3417288,2,BOX,"1,3",PAV,34,",0474040"
3417289,0,BOX,2,PAV,34,",0151920"
3417290,8,BOX,4,PAV,34,",0212050"
3417291,6,BOX,5,PAV,34,",0185550"
3417292,4,BOX,6,PAV,34,",0169640"
3417293,2,BOX,7 A 14,PAV,34,",1441820"
3417294,0,BOX,"15,17",PAV,34,",0152200"
3417295,7,BOX,"16,18",PAV,34,",0317920"
3417296,5,BOX,"19,20",PAV,34,",0331780"
3417297,3,BOX,"21,23",PAV,34,",0438250"
3417298,1,BOX,"24,26,28",PAV,34,",0752810"
3417299,9,BOX,25,PAV,34,",0219120"
3417300,5,BOX,"27,29",PAV,34,",0379930"
3417301,3,BOX,"30,32",PAV,34,",0623800"
3417302,1,BOX,"31,33 A 38",PAV,34,",1193860"
3417303,9,BOX,"39,41",PAV,34,",0460810"
3417304,7,BOX,"40,42",PAV,34,",0500100"
3417305,4,BOX,"43,44",PAV,34,",0389720"
3417306,2,BOX,"45,46",PAV,34,",0621150"
3417307,0,BOX,BRADESCO,PAV,34,",0621150"
3417308,8,BOX,A,PAV,34,",0362260"
3417309,6,BOX,1,PAV,41,",0124120"
3417310,4,BOX,2,PAV,41,",0158460"
3417311,2,BOX,"3,4,5,7,9",PAV,41,",1019760"
3417312,0,BOX,"6,8",PAV,41,",0369750"
3417313,8,BOX,10,PAV,41,",0165270"
3417314,6,BOX,"11,12",PAV,41,",0413520"
3417315,3,BOX,"13,14",PAV,41,",0321080"
3417316,1,BOX,"15,17,19",PAV,41,",0811810"
3417317,9,BOX,16,PAV,41,",0092650"
3417318,7,BOX,18,PAV,41,",0162010"
3417319,5,BOX,"20,22",PAV,41,",0249630"
3417320,3,BOX,21,PAV,41,",0274370"
3417321,1,BOX,23 A 27,PAV,41,",1114410"
3417322,9,BOX,"28,30",PAV,41,",0212120"
3417323,7,BOX,29,PAV,41,",0362450"
3417324,5,BOX,"31A35,37",E,"39,41,4345",",2423040"
3417325,2,BOX,36,PAV,41,",0104520"
3417326,0,BOX,38,PAV,41,",0182910"
3417327,8,BOX,40,PAV,41,",0136690"
3417328,6,BOX,42,PAV,41,",0182910"
3417329,4,BOX,44,PAV,41,",0267840"
3417330,2,BOX,46,PAV,41,",0220800"
3417331,0,BOX,47,PAV,41,",0226680"
3417332,8,BOX,48,PAV,41,",0269150"
3417333,6,BOX,A,PAV,41,",0133920"
3417334,4,BOX,1,PAV,42,",0219770"
3417335,1,BOX,2,PAV,42,",0324610"
3417336,9,BOX,3,PAV,42,",0139850"
3417337,7,BOX,"4,6",PAV,42,",0282700"
3417338,5,BOX,5,PAV,42,",0196210"
3417339,3,BOX,7,PAV,42,",0279710"
3417340,1,BOX,8,PAV,42,",0332800"
3417341,9,BOX,10,PAV,42,",0111880"
3417342,7,BOX,11,PAV,42,",0170220"
3417343,5,BOX,12,PAV,42,",0197390"
3417344,3,BOX,13,PAV,42,",0279710"
3417345,0,BOX,"14,16",PAV,42,",0373170"
3417346,8,BOX,15,PAV,42,",0279710"
3417347,6,BOX,17,PAV,42,",0181410"
3417348,4,BOX,18,PAV,42,",0171420"
3417349,2,BOX,"19,21,23",PAV,42,",0851130"
3417350,0,BOX,20,PAV,42,",0166230"
3417351,8,BOX,22,PAV,42,",0187800"
3417352,6,BOX,24,PAV,42,",0190200"
3417353,4,BOX,25,PAV,42,",0139850"
3417354,2,BOX,26,PAV,42,",0214180"
3417355,9,BOX,27,PAV,42,",0182210"
3417356,7,BOX,28,PAV,42,",0244650"
3417357,5,BOX,29,PAV,42,",0177530"
3417358,3,BOX,30,PAV,42,",0270120"
3417359,1,BOX,31,PAV,42,",0139850"
3417360,9,BOX,32,PAV,42,",0104690"
3417361,7,BOX,"33,35",PAV,42,",0282700"
3417362,5,BOX,34,PAV,42,",0331090"
3417363,3,BOX,36,PAV,42,",0279710"
3417364,1,BOX,37,PAV,42,",0224170"
3417365,8,BOX,38,PAV,42,",0208580"
3417366,6,BOX,"39,41",PAV,42,",0494750"
3417367,4,BOX,42,PAV,42,",0129460"
3417368,2,BOX,"43,45",PAV,42,",0682170"
3417369,0,BOX,"44,46,48",PAV,42,",0851130"
