ii,g_1_sproc,g_1_scob,g_1_valor,g_1_quitado,g_1_quitou,g_2_sproc,g_2_scob,g_2_valor,g_2_quitado,g_2_quitou,g_3_sproc,g_3_scob,g_3_valor,g_3_quitado,g_3_quitou,g_4_sproc,g_4_scob,g_4_valor,g_4_quitado,g_4_quitou,g_5_sproc,g_5_scob,g_5_valor,g_5_quitado,g_5_quitou,g_6_sproc,g_6_scob,g_6_valor,g_6_quitado,g_6_quitou
3417197-5,D,S,14142.0,0.0,NAO,D,S,58943.0,0.0,NAO,D,S,14142.0,0.0,NAO,D,S,58943.0,0.0,NAO,D,S,58943.0,0.0,NAO,D,S,58943.0,0.0,NAO
3417198-3,D,S,7387.0,0.0,NAO,D,S,25445.0,0.0,NAO,D,S,7387.0,0.0,NAO,D,S,25445.0,0.0,NAO,D,S,25445.0,0.0,NAO,D,S,25445.0,0.0,NAO
3417433-4,D,S,2982.0,0.0,NAO,D,S,9883.0,0.0,NAO,D,S,2982.0,0.0,NAO,D,S,9883.0,0.0,NAO,D,S,9883.0,0.0,NAO,D,S,9883.0,0.0,NAO
3417514-1,D,S,144797.0,0.0,NAO,D,S,604136.0,0.0,NAO,D,S,144797.0,0.0,NAO,D,S,604136.0,0.0,NAO,D,S,604136.0,0.0,NAO,D,S,604136.0,0.0,NAO
3417515-8,D,S,17457.0,0.0,NAO,D,S,73105.0,0.0,NAO,D,S,17457.0,17102.76,NAO,D,S,73105.0,0.0,NAO,D,S,73105.0,0.0,NAO,D,S,73105.0,0.0,NAO
3417526-5,D,S,17008.0,0.0,NAO,D,S,71423.0,0.0,NAO,D,S,17008.0,0.0,NAO,D,S,71423.0,0.0,NAO,D,S,71423.0,0.0,NAO,D,S,71423.0,0.0,NAO
3417427-6,D,S,39368.0,0.0,NAO,D,S,164929.0,0.0,NAO,D,S,39368.0,39368.0,SIM,D,S,164929.0,0.0,NAO,D,S,164929.0,0.0,NAO,D,S,164929.0,0.0,NAO
3417527-3,D,S,92142.0,0.0,NAO,D,S,384557.0,0.0,NAO,D,S,81688.0,0.0,NAO,D,S,363211.0,0.0,NAO,D,S,340959.0,0.0,NAO,D,S,340959.0,0.0,NAO
